D_SMILES,D_name,A_SMILES,A_name,Jsc(mAcm-2),Voc(V),FF(%),PCE(%),DOI,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,CCCCC(CC)CN1C(=O)C2=C(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)SC(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)=C2C1=O,TPDC-4F,22.19,0.85,0.71,13.35,https://doi.org/10.3390/molecules28083625,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,CCCCC(CC)CN1C(=O)C2=C(SC(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)=C2)C2=C(C=C(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)S2)C1=O,BTIC-4F,20.5,0.89,0.66,12.04,https://doi.org/10.3390/molecules28083625,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=CC5=C(S2)/C(=C(C)C#N)C2=CC(F)=C(F)C=C25)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC4=C(S3)C(=C(C#N)C#N)C3=CC(F)=C(F)C=C34)=C2)C=C1,Q1-4F,15.63,0.73,0.69,7.93,https://doi.org/10.1246/bcsj.20200231,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=CC5=C(S2)/C(=C(C)C#N)C2=CC=CC=C25)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC4=C(S3)C(=C(C#N)C#N)C3=CC=C(F)C=C34)=C2)C=C1,Q1-2F,12.4,0.76,0.64,6.05,https://doi.org/10.1246/bcsj.20200231,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=CC5=C(S2)/C(=C(C)C#N)C2=CC=CC=C25)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC4=C(S3)C(=C(C#N)C#N)C3=CC=CC=C34)=C2)C=C1,Q1-0F,7.2,0.89,0.44,2.75,https://doi.org/10.1246/bcsj.20200231,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC6=C(C(SC=C7[*])=C7C8=C6N=C(C9=CC=C(CCC(CCCCCCCC)CCCCCCCCCC)S9)S8)S5)=C4)=C2C%10=CC=C(CC(CC)CCCC)S%10,TDTBTA,CCCCCCC1=C(SC(/C=C2S/C(N(C2=O)CC)=C(C#N)C#N)=C1CCCCCC)C#CC3=CC=C(S3)C4=C5C(N(C(C6=CC=C(S6)C#CC7=C(C(CCCCCC)=C(S7)/C=C8S/C(N(C8=O)CC)=C(C#N)C#N)CCCCCC)=C5C(N4CC(CCCC)CC)=O)CC(CCCC)CC)=O,MPU6,20.38,1.04,0.62,13.14,https://doi.org/10.1039/D1TC02241E,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCCCC(CCCCCC)N1N=C2C(=N1)C(C1=CC3=C(S1)C1=C(C=C(/C=C4C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C(F)C(F)=C2C1=CC2=C(S1)C1=C(C=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,BTC6-4F,19.81,0.79,0.72,11.23,https://doi.org/10.1039/D1NJ01978C,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCCCC(CCCCCC)N1N=C2C(=N1)C(C1=CC3=C(S1)C1=C(C=C(/C=C4C(=O)C5=C(C=CC(F)=C5)C4=C(C#N)C#N)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C(F)C(F)=C2C1=CC2=C(S1)C1=C(C=C(/C=C3C(=O)C4=C(C=CC(F)=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,BTC6-2F,19.32,0.81,0.64,10.1,https://doi.org/10.1039/D1NJ01978C,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCCCC(CCCCCC)N1N=C2C(=N1)C(C1=CC3=C(S1)C1=C(C=C(/C=C4C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S1)C3(CC(CC)CCCC)CC(CC)CCCC)=C(F)C(F)=C2C1=CC2=C(S1)C1=C(C=C(/C=C3C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,BTC6-0F,17.99,0.87,0.54,8.49,https://doi.org/10.1039/D1NJ01978C,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC(F)=C(S%10)CC(CC)CCCC)S1,PM6,CCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=CC(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=CC(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,BTP-F,24.05,0.9,0.75,16.2,https://doi.org/10.1039/D1EE01864G,,,,,,,,,,,
